Date,Close
2000-01-03,6.548
2000-01-04,6.485
2000-01-05,6.599
2000-01-06,6.549
2000-01-07,6.504
2000-01-10,6.558
2000-01-11,6.664
2000-01-12,6.696
2000-01-13,6.618
2000-01-14,6.674
2000-01-18,6.748
2000-01-19,6.725
2000-01-20,6.748
2000-01-21,6.781
2000-01-24,6.684
2000-01-25,6.684
2000-01-26,6.68
2000-01-27,6.685
2000-01-28,6.648
2000-01-31,6.667
2000-02-01,6.617
2000-02-02,6.598
2000-02-03,6.475
2000-02-04,6.517
2000-02-07,6.631
2000-02-08,6.599
2000-02-09,6.669
2000-02-10,6.656
2000-02-11,6.621
2000-02-14,6.539
2000-02-15,6.552
2000-02-16,6.547
2000-02-17,6.569
2000-02-18,6.483
2000-02-22,6.342
2000-02-23,6.427
2000-02-24,6.346
2000-02-25,6.341
2000-02-28,6.414
2000-02-29,6.409
2000-03-01,6.379
2000-03-02,6.396
2000-03-03,6.371
2000-03-06,6.409
2000-03-07,6.383
2000-03-08,6.375
2000-03-09,6.341
2000-03-10,6.387
2000-03-13,6.362
2000-03-14,6.298
2000-03-15,6.276
2000-03-16,6.238
2000-03-17,6.188
2000-03-20,6.171
2000-03-21,6.137
2000-03-22,6.12
2000-03-23,6.07
2000-03-24,6.174
2000-03-27,6.195
2000-03-28,6.17
2000-03-29,6.149
2000-03-30,6.065
2000-03-31,6.023
2000-04-03,5.986
2000-04-04,5.841
2000-04-05,5.882
2000-04-06,5.915
2000-04-07,5.849
2000-04-10,5.792
2000-04-11,5.877
2000-04-12,5.968
2000-04-13,5.914
2000-04-14,5.885
2000-04-17,5.992
2000-04-18,6.046
2000-04-19,5.975
2000-04-20,5.988
2000-04-24,5.987
2000-04-25,6.117
2000-04-26,6.13
2000-04-27,6.235
2000-04-28,6.214
2000-05-01,6.255
2000-05-02,6.312
2000-05-03,6.403
2000-05-04,6.446
2000-05-05,6.507
2000-05-08,6.56
2000-05-09,6.524
2000-05-10,6.437
2000-05-11,6.407
2000-05-12,6.498
2000-05-15,6.459
2000-05-16,6.402
2000-05-17,6.463
2000-05-18,6.546
2000-05-19,6.511
2000-05-22,6.42
2000-05-23,6.446
2000-05-24,6.459
2000-05-25,6.372
2000-05-26,6.32
2000-05-30,6.367
2000-05-31,6.285
2000-06-01,6.195
2000-06-02,6.148
2000-06-05,6.101
2000-06-06,6.127
2000-06-07,6.114
2000-06-08,6.105
2000-06-09,6.113
2000-06-12,6.075
2000-06-13,6.101
2000-06-14,6.041
2000-06-15,6.037
2000-06-16,5.969
2000-06-19,5.99
2000-06-20,6.015
2000-06-21,6.096
2000-06-22,6.113
2000-06-23,6.177
2000-06-26,6.095
2000-06-27,6.078
2000-06-28,6.104
2000-06-29,6.031
2000-06-30,6.018
2000-07-03,5.98
2000-07-05,5.976
2000-07-06,6.031
2000-07-07,5.997
2000-07-10,6.026
2000-07-11,6.048
2000-07-12,6.077
2000-07-13,5.992
2000-07-14,6.094
2000-07-17,6.146
2000-07-18,6.141
2000-07-19,6.15
2000-07-20,6.013
2000-07-21,6
2000-07-24,6.025
2000-07-25,6.021
2000-07-26,6.021
2000-07-27,6
2000-07-28,6.025
2000-07-31,6.029
2000-08-01,5.991
2000-08-02,5.969
2000-08-03,5.944
2000-08-04,5.901
2000-08-07,5.948
2000-08-08,5.914
2000-08-09,5.909
2000-08-10,5.75
2000-08-11,5.787
2000-08-14,5.771
2000-08-15,5.8
2000-08-16,5.817
2000-08-17,5.804
2000-08-18,5.766
2000-08-21,5.771
2000-08-22,5.762
2000-08-23,5.725
2000-08-24,5.716
2000-08-25,5.721
2000-08-28,5.766
2000-08-29,5.808
2000-08-30,5.8
2000-08-31,5.729
2000-09-01,5.675
2000-09-05,5.683
2000-09-06,5.712
2000-09-07,5.749
2000-09-08,5.724
2000-09-11,5.758
