"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 02월 25일","45,900","45,300","45,950","45,300","1.12M","0.55%"
"2019년 02월 22일","45,650","45,250","45,700","45,050","1.22M","0.22%"
"2019년 02월 21일","45,550","45,600","46,000","45,550","1.30M","-0.65%"
"2019년 02월 20일","45,850","45,650","46,000","45,400","2.03M","-0.43%"
"2019년 02월 19일","46,050","46,100","46,300","45,600","948.68K","-0.11%"
"2019년 02월 18일","46,100","46,050","46,450","46,000","1.07M","0.22%"
"2019년 02월 15일","46,000","45,900","46,200","45,600","908.75K","-0.43%"
"2019년 02월 14일","46,200","46,050","46,300","45,800","1.52M","0.11%"
"2019년 02월 13일","46,150","45,700","46,250","45,500","1.21M","1.43%"
"2019년 02월 12일","45,500","46,000","46,150","45,350","2.05M","-1.83%"
"2019년 02월 11일","46,350","47,150","47,250","46,250","1.80M","-3.64%"
"2019년 02월 08일","48,100","47,750","48,800","47,750","1.08M","0.10%"
"2019년 02월 07일","48,050","48,350","48,900","47,800","1.04M","-1.13%"
"2019년 02월 01일","48,600","48,300","49,200","47,850","1.59M","1.14%"
"2019년 01월 31일","48,050","47,100","48,900","46,800","2.27M","3.00%"
"2019년 01월 30일","46,650","46,400","46,650","45,700","1.17M","1.19%"
"2019년 01월 29일","46,100","45,800","46,150","45,600","832.56K","0.66%"
"2019년 01월 28일","45,800","46,300","46,500","45,800","1.17M","-1.08%"
"2019년 01월 25일","46,300","45,950","46,300","45,400","1.13M","0.87%"
"2019년 01월 24일","45,900","45,200","46,100","45,150","1.28M","1.21%"
"2019년 01월 23일","45,350","45,850","45,850","45,100","1.50M","-0.87%"
"2019년 01월 22일","45,750","45,600","45,800","45,300","1.36M","-0.76%"
"2019년 01월 21일","46,100","46,500","46,700","46,000","1.19M","-1.28%"
"2019년 01월 18일","46,700","47,350","47,400","46,550","1.05M","-1.89%"
"2019년 01월 17일","47,600","47,800","47,850","47,050","874.63K","0.32%"
"2019년 01월 16일","47,450","46,900","47,700","46,450","1.04M","1.50%"
"2019년 01월 15일","46,750","45,000","46,750","44,800","1.31M","4.94%"
"2019년 01월 14일","44,550","45,450","45,850","44,400","1.19M","-1.76%"
"2019년 01월 11일","45,350","45,550","46,100","45,150","1.06M","-0.33%"
"2019년 01월 10일","45,500","46,500","46,500","45,500","1.19M","-2.05%"
"2019년 01월 09일","46,450","46,050","46,650","45,800","885.36K","2.09%"
"2019년 01월 08일","45,500","45,900","45,950","45,300","842.05K","0.11%"
"2019년 01월 07일","45,450","45,800","46,650","45,450","957.13K","-0.44%"
"2019년 01월 04일","45,650","46,500","46,600","45,600","783.66K","-1.72%"
"2019년 01월 03일","46,450","46,600","46,800","46,200","1.28M","1.09%"
"2019년 01월 02일","45,950","46,700","46,900","45,600","635.98K","-1.18%"
"2018년 12월 28일","46,500","45,700","46,500","45,700","827.22K","2.31%"
"2018년 12월 27일","45,450","46,500","46,550","45,250","1.33M","-4.92%"
"2018년 12월 26일","47,800","48,300","48,700","47,050","1.20M","-1.95%"
"2018년 12월 24일","48,750","48,400","49,100","48,200","606.19K","-0.41%"
"2018년 12월 21일","48,950","48,650","48,950","47,850","1.14M","0.20%"
"2018년 12월 20일","48,850","48,400","49,250","48,350","1.04M","1.35%"
"2018년 12월 19일","48,200","48,700","48,950","48,100","1.06M","-1.53%"
"2018년 12월 18일","48,950","48,350","49,150","48,200","1.20M","1.56%"
"2018년 12월 17일","48,200","48,100","48,900","48,100","880.96K","0.52%"
"2018년 12월 14일","47,950","47,450","48,200","47,300","928.85K","1.37%"
"2018년 12월 13일","47,300","46,800","47,750","46,450","2.22M","1.07%"
"2018년 12월 12일","46,800","45,700","47,050","45,350","936.88K","2.63%"
"2018년 12월 11일","45,600","45,000","45,800","44,200","1.32M","0.88%"
"2018년 12월 10일","45,200","46,700","46,800","45,000","1.72M","-3.93%"
"2018년 12월 07일","47,050","47,250","47,750","47,050","842.40K","-1.47%"
"2018년 12월 06일","47,750","48,400","48,400","47,550","819.18K","-0.52%"
"2018년 12월 05일","48,000","47,600","48,100","47,100","1.16M","0.10%"
"2018년 12월 04일","47,950","47,150","47,950","47,150","1.12M","1.59%"
"2018년 12월 03일","47,200","47,950","48,400","46,950","1.30M","0.00%"
"2018년 11월 30일","47,200","48,350","48,650","46,850","2.07M","-2.68%"
"2018년 11월 29일","48,500","48,950","48,950","48,050","1.34M","0.31%"
"2018년 11월 28일","48,350","48,650","48,650","47,800","1.04M","0.00%"
"2018년 11월 27일","48,350","47,650","48,550","47,650","1.13M","1.58%"
"2018년 11월 26일","47,600","47,150","47,600","46,900","947.03K","1.06%"
"2018년 11월 25일","47,100","47,100","47,100","47,100","-","0.53%"
"2018년 11월 23일","46,850","47,000","47,200","46,650","412.55K","-0.11%"
"2018년 11월 22일","46,900","46,700","46,950","46,200","599.05K","0.75%"
"2018년 11월 21일","46,550","46,600","46,950","45,900","1.13M","-0.85%"
"2018년 11월 20일","46,950","46,800","47,000","46,600","1.06M","0.11%"
"2018년 11월 19일","46,900","47,100","47,500","46,850","748.03K","-0.74%"
"2018년 11월 18일","47,250","47,200","47,250","47,200","-","0.32%"
"2018년 11월 16일","47,100","47,300","47,450","46,950","753.42K","0.00%"
"2018년 11월 15일","47,100","47,300","47,750","47,000","893.69K","0.00%"
"2018년 11월 14일","47,100","47,100","47,400","46,850","804.43K","0.11%"
"2018년 11월 13일","47,050","47,100","47,100","46,650","1.36M","-1.36%"
"2018년 11월 12일","47,700","47,650","48,100","47,600","928.25K","0.00%"
"2018년 11월 11일","47,700","47,700","47,700","47,700","-","-0.21%"
"2018년 11월 09일","47,800","48,450","48,800","47,750","1.36M","-1.34%"
"2018년 11월 08일","48,450","48,600","49,550","48,450","1.52M","0.94%"
"2018년 11월 07일","48,000","48,550","48,950","47,700","1.03M","-1.13%"
"2018년 11월 06일","48,550","48,850","49,000","48,250","786.31K","-0.21%"
"2018년 11월 05일","48,650","48,750","48,900","48,050","986.76K","-0.41%"
"2018년 11월 04일","48,850","48,850","48,850","48,850","-","-0.41%"
"2018년 11월 02일","49,050","48,100","49,200","48,100","1.25M","2.72%"
"2018년 11월 01일","47,750","48,000","48,400","47,450","1.31M","0.74%"
"2018년 10월 31일","47,400","47,650","48,550","46,750","2.99M","-2.77%"
"2018년 10월 30일","48,750","51,000","51,200","48,600","1.90M","-5.52%"
"2018년 10월 29일","51,600","51,100","51,800","50,700","979.78K","1.18%"
"2018년 10월 26일","51,000","51,300","52,300","50,200","1.10M","-0.58%"
"2018년 10월 25일","51,300","51,500","51,500","50,300","1.22M","-1.54%"
"2018년 10월 24일","52,100","51,600","52,400","50,900","940.98K","2.16%"
"2018년 10월 23일","51,000","52,400","52,400","50,600","877.97K","-2.67%"
"2018년 10월 22일","52,400","51,100","52,500","51,000","770.16K","2.54%"
"2018년 10월 21일","51,100","50,900","51,100","50,900","-","0.00%"
"2018년 10월 19일","51,100","50,900","51,400","50,600","925.86K","-0.58%"
"2018년 10월 18일","51,400","51,900","52,500","51,100","902.84K","-2.10%"
"2018년 10월 17일","52,500","52,600","53,100","52,100","632.23K","1.16%"
"2018년 10월 16일","51,900","53,200","53,400","51,800","568.90K","-1.14%"
"2018년 10월 15일","52,500","52,400","53,100","51,400","686.82K","0.19%"
"2018년 10월 14일","52,400","52,400","52,400","52,400","-","0.00%"
"2018년 10월 12일","52,400","52,700","52,800","51,000","1.18M","-0.76%"
"2018년 10월 11일","52,800","54,600","55,300","52,200","1.61M","-4.69%"
"2018년 10월 10일","55,400","55,500","55,900","54,800","1.25M","-1.07%"
"2018년 10월 09일","56,000","56,000","56,000","56,000","-","0.00%"
"2018년 10월 08일","56,000","56,400","56,400","55,500","803.80K","-0.36%"
"2018년 10월 07일","56,200","56,200","56,200","56,200","-","0.00%"
"2018년 10월 05일","56,200","55,800","56,700","55,300","1.06M","0.18%"
"2018년 10월 04일","56,100","54,300","56,500","54,300","1.93M","2.94%"
"2018년 10월 03일","54,500","54,500","54,500","54,500","-","0.00%"
"2018년 10월 02일","54,500","54,700","55,700","54,100","984.21K","-1.98%"
"2018년 10월 01일","55,600","55,000","55,900","54,800","1.25M","2.58%"
"2018년 09월 30일","54,200","54,200","54,200","54,200","-","0.00%"
"2018년 09월 28일","54,200","54,100","54,500","53,600","1.20M","0.93%"
"2018년 09월 27일","53,700","53,200","53,700","52,400","1.39M","0.94%"
"2018년 09월 26일","53,200","53,200","53,200","53,200","-","0.00%"
"2018년 09월 21일","53,200","52,000","53,400","51,700","1.84M","3.30%"
"2018년 09월 20일","51,500","50,600","51,800","50,100","1.47M","2.18%"
"2018년 09월 19일","50,400","50,300","50,700","50,100","833.77K","0.20%"
"2018년 09월 18일","50,300","50,400","50,800","50,100","559.92K","-0.20%"
"2018년 09월 17일","50,400","50,900","51,200","50,200","696.74K","-1.37%"
"2018년 09월 16일","51,100","51,100","51,100","51,100","-","0.00%"
"2018년 09월 14일","51,100","52,100","52,100","51,100","925.21K","-2.11%"
"2018년 09월 13일","52,200","51,600","52,200","51,300","1.04M","1.56%"
"2018년 09월 12일","51,400","51,300","51,400","51,000","445.28K","0.59%"
"2018년 09월 11일","51,100","51,000","51,200","50,600","717.58K","0.20%"
"2018년 09월 10일","51,000","51,100","51,500","50,900","744.79K","0.59%"
"2018년 09월 09일","50,700","50,700","50,700","50,700","-","0.00%"
"2018년 09월 07일","50,700","51,000","51,000","50,300","653.57K","0.40%"
"2018년 09월 06일","50,500","50,500","50,900","50,300","492.04K","0.20%"
"2018년 09월 05일","50,400","51,100","51,200","50,200","706.83K","-1.95%"
"2018년 09월 04일","51,400","51,300","51,700","51,000","361.65K","0.19%"
"2018년 09월 03일","51,300","51,600","51,600","51,000","632.31K","-0.77%"
"2018년 09월 02일","51,700","51,700","51,700","51,700","-","0.00%"
"2018년 08월 31일","51,700","50,900","51,800","50,500","810.21K","0.58%"
"2018년 08월 30일","51,400","52,400","52,500","51,000","1.05M","-2.47%"
"2018년 08월 29일","52,700","52,600","53,000","52,300","429.69K","0.00%"
"2018년 08월 28일","52,700","52,900","53,500","52,500","728.42K","-0.19%"
"2018년 08월 27일","52,800","51,700","52,900","51,600","998.06K","2.33%"
"2018년 08월 26일","51,600","51,600","51,600","51,600","-","0.00%"
"2018년 08월 24일","51,600","51,100","51,900","50,900","589.00K","1.57%"
"2018년 08월 23일","50,800","51,300","51,400","50,600","642.91K","-0.20%"
"2018년 08월 22일","50,900","51,300","51,400","50,600","591.75K","-0.78%"
"2018년 08월 21일","51,300","50,900","51,800","50,400","735.23K","0.20%"
"2018년 08월 20일","51,200","51,600","51,600","50,900","697.03K","0.00%"
"2018년 08월 17일","51,200","50,400","51,700","50,200","969.66K","1.99%"
"2018년 08월 16일","50,200","49,950","50,600","49,400","1.31M","-0.40%"
"2018년 08월 15일","50,400","50,400","50,400","50,400","-","0.00%"
"2018년 08월 14일","50,400","50,600","50,800","50,100","1.19M","-1.37%"
"2018년 08월 13일","51,100","51,600","51,900","50,600","840.83K","-1.16%"
"2018년 08월 12일","51,700","51,700","51,700","51,700","-","0.00%"
"2018년 08월 10일","51,700","52,000","52,400","51,700","968.34K","-0.19%"
"2018년 08월 09일","51,800","52,700","52,800","51,800","1.09M","-1.52%"
"2018년 08월 08일","52,600","52,600","53,300","52,500","688.99K","-0.38%"
"2018년 08월 07일","52,800","52,600","53,400","52,500","505.40K","-0.56%"
"2018년 08월 06일","53,100","52,600","53,200","52,500","439.43K","0.57%"
"2018년 08월 05일","52,800","52,800","52,800","52,800","-","0.00%"
"2018년 08월 03일","52,800","52,400","52,900","51,600","568.84K","0.57%"
"2018년 08월 02일","52,500","53,500","53,700","52,200","831.72K","-2.60%"
"2018년 08월 01일","53,900","54,200","54,700","53,600","429.66K","0.56%"
"2018년 07월 31일","53,600","53,800","54,000","53,300","570.51K","-0.56%"
"2018년 07월 30일","53,900","53,900","54,300","53,400","503.79K","0.56%"
"2018년 07월 27일","53,600","53,900","54,000","53,400","348.53K","0.19%"
"2018년 07월 26일","53,500","54,200","54,600","53,500","676.17K","-1.65%"
"2018년 07월 25일","54,400","54,000","54,900","53,800","793.97K","1.87%"
"2018년 07월 24일","53,400","53,900","54,100","53,000","868.89K","-0.93%"
"2018년 07월 23일","53,900","53,800","54,400","53,000","1.26M","0.00%"
"2018년 07월 22일","53,900","53,900","53,900","53,900","-","0.00%"
"2018년 07월 20일","53,900","54,100","54,500","53,200","1.03M","0.56%"
"2018년 07월 19일","53,600","55,700","55,700","53,500","612.57K","-2.90%"
"2018년 07월 18일","55,200","55,000","55,300","54,300","556.93K","-0.36%"
"2018년 07월 17일","55,400","53,900","55,600","53,900","728.90K","2.78%"
"2018년 07월 16일","53,900","54,700","55,300","53,700","711.70K","-2.53%"
"2018년 07월 15일","55,300","55,300","55,300","55,300","-","0.00%"
"2018년 07월 13일","55,300","53,800","55,700","53,500","964.58K","4.54%"
"2018년 07월 12일","52,900","53,700","54,400","52,900","1.11M","-1.67%"
"2018년 07월 11일","53,800","53,500","54,000","52,700","1.10M","-1.28%"
"2018년 07월 10일","54,500","55,300","55,600","54,400","741.42K","-1.27%"
"2018년 07월 09일","55,200","54,100","55,600","54,000","1.14M","1.85%"
"2018년 07월 06일","54,200","52,800","54,500","52,700","1.26M","2.85%"
"2018년 07월 05일","52,700","52,100","53,400","51,600","805.38K","1.54%"
"2018년 07월 04일","51,900","51,600","52,400","51,300","475.43K","-0.19%"
"2018년 07월 03일","52,000","52,600","52,600","51,000","1.01M","-0.95%"
"2018년 07월 02일","52,500","52,800","53,900","52,500","1.33M","-0.57%"
"2018년 06월 29일","52,800","52,000","53,300","52,000","953.95K","0.76%"
"2018년 06월 28일","52,400","54,000","54,100","52,200","1.13M","-3.14%"
"2018년 06월 27일","54,100","53,600","54,400","53,600","926.67K","0.00%"
"2018년 06월 26일","54,100","54,500","54,600","53,400","729.43K","-0.73%"
"2018년 06월 25일","54,500","53,000","54,800","52,800","1.19M","3.02%"
"2018년 06월 24일","52,900","52,900","52,900","52,900","-","0.00%"
"2018년 06월 22일","52,900","52,000","53,100","51,800","1.35M","0.38%"
"2018년 06월 21일","52,700","54,300","54,300","52,400","1.32M","-4.36%"
"2018년 06월 20일","55,100","55,300","56,600","54,700","1.08M","0.00%"
"2018년 06월 19일","55,100","53,700","55,400","53,500","1.04M","-0.72%"
"2018년 06월 18일","55,500","54,500","56,000","54,500","788.57K","0.91%"
"2018년 06월 17일","55,000","55,000","55,000","55,000","-","0.00%"
"2018년 06월 15일","55,000","55,900","55,900","53,800","1.36M","-1.79%"
"2018년 06월 14일","56,000","57,000","57,200","55,600","1.11M","-1.58%"
"2018년 06월 13일","56,900","56,900","56,900","56,900","-","0.00%"
"2018년 06월 12일","56,900","58,000","58,100","56,700","1.02M","-0.87%"
"2018년 06월 11일","57,400","55,800","57,500","55,800","1.12M","2.50%"
"2018년 06월 10일","56,000","56,000","56,000","56,000","-","0.00%"
"2018년 06월 08일","56,000","56,100","56,700","55,700","995.68K","-0.18%"
"2018년 06월 07일","56,100","56,700","57,100","55,900","1.35M","2.00%"
"2018년 06월 05일","55,000","54,700","55,400","54,400","989.44K","1.10%"
"2018년 06월 04일","54,400","53,000","54,700","52,800","1.39M","4.02%"
"2018년 06월 01일","52,300","52,600","52,800","52,100","662.71K","0.97%"
"2018년 05월 31일","51,800","53,100","53,100","51,800","2.28M","-1.15%"
"2018년 05월 30일","52,400","53,700","54,500","52,000","2.07M","-4.03%"
"2018년 05월 29일","54,600","55,000","55,000","54,300","614.00K","-0.91%"
"2018년 05월 28일","55,100","55,100","55,900","54,900","816.33K","-0.54%"
"2018년 05월 27일","55,400","55,400","55,400","55,400","-","0.00%"
"2018년 05월 25일","55,400","56,300","56,500","55,300","802.01K","-1.07%"
"2018년 05월 24일","56,000","55,900","56,700","55,800","896.09K","1.08%"
"2018년 05월 23일","55,400","55,000","55,900","55,000","975.49K","-0.89%"
"2018년 05월 21일","55,900","56,100","56,500","55,300","932.79K","-0.89%"
"2018년 05월 18일","56,400","57,400","57,600","56,000","927.03K","-2.08%"
"2018년 05월 17일","57,600","57,700","58,100","57,500","583.27K","0.00%"
"2018년 05월 16일","57,600","57,700","57,800","57,200","600.01K","0.52%"
"2018년 05월 15일","57,300","58,200","58,300","57,100","957.36K","-1.55%"
"2018년 05월 14일","58,200","58,000","58,700","58,000","592.72K","0.00%"
"2018년 05월 11일","58,200","58,000","58,500","57,800","544.26K","0.34%"
"2018년 05월 10일","58,000","58,100","59,300","58,000","914.52K","-0.34%"
"2018년 05월 09일","58,200","57,900","58,500","57,100","1.25M","-0.34%"
"2018년 05월 08일","58,400","58,300","59,000","58,100","1.39M","-1.35%"
"2018년 05월 04일","59,200","59,700","59,800","58,600","883.06K","-1.82%"
"2018년 05월 03일","60,300","60,800","61,000","60,000","475.58K","-0.66%"
"2018년 05월 02일","60,700","60,800","61,200","60,300","755.93K","-0.82%"
"2018년 05월 01일","61,200","61,200","61,200","61,200","-","0.00%"
"2018년 04월 30일","61,200","60,300","61,400","60,200","561.58K","2.17%"
"2018년 04월 29일","59,900","59,900","59,900","59,900","-","0.00%"
"2018년 04월 27일","59,900","60,000","61,400","59,800","973.95K","-0.33%"
"2018년 04월 26일","60,100","61,100","61,100","60,100","895.80K","-0.66%"
"2018년 04월 25일","60,500","61,400","61,400","60,100","779.75K","-1.31%"
"2018년 04월 24일","61,300","61,000","61,600","60,200","711.98K","0.82%"
"2018년 04월 23일","60,800","60,100","61,000","59,400","932.36K","0.50%"
"2018년 04월 22일","60,500","60,500","60,500","60,500","-","0.00%"
"2018년 04월 20일","60,500","60,700","61,300","59,900","1.02M","0.83%"
"2018년 04월 19일","60,000","59,300","60,300","59,200","1.03M","1.87%"
"2018년 04월 18일","58,900","58,500","59,300","58,200","904.13K","-0.17%"
"2018년 04월 17일","59,000","60,600","60,800","58,900","702.42K","-1.34%"
"2018년 04월 16일","59,800","59,900","60,300","58,900","448.92K","-0.17%"
"2018년 04월 15일","59,900","59,900","59,900","59,900","-","0.00%"
"2018년 04월 13일","59,900","59,400","60,600","59,300","947.61K","1.18%"
"2018년 04월 12일","59,200","58,700","59,800","58,600","748.95K","1.20%"
"2018년 04월 11일","58,500","58,100","58,900","57,700","797.21K","-0.17%"
"2018년 04월 10일","58,600","56,600","59,000","56,100","1.26M","3.53%"
"2018년 04월 09일","56,600","57,400","58,000","56,200","1.29M","-2.92%"
"2018년 04월 08일","58,300","58,300","58,300","58,300","-","0.00%"
"2018년 04월 06일","58,300","58,300","58,900","57,900","672.77K","0.34%"
"2018년 04월 05일","58,100","58,100","58,500","57,600","813.85K","0.87%"
"2018년 04월 04일","57,600","58,400","58,400","56,700","1.12M","-0.35%"
"2018년 04월 03일","57,800","59,000","59,000","56,800","1.41M","-2.86%"
"2018년 04월 02일","59,500","60,400","61,200","59,300","695.63K","-1.98%"
"2018년 03월 30일","60,700","61,900","61,900","60,700","467.59K","-1.46%"
"2018년 03월 29일","61,600","60,600","61,600","59,900","893.98K","2.50%"
"2018년 03월 28일","60,100","60,800","60,900","59,600","648.20K","-1.96%"
"2018년 03월 27일","61,300","61,200","61,800","61,000","669.63K","0.82%"
"2018년 03월 26일","60,800","61,500","62,000","60,300","890.32K","-1.30%"
"2018년 03월 25일","61,600","61,600","61,600","61,600","-","0.00%"
"2018년 03월 23일","61,600","62,100","62,400","61,500","993.68K","-3.60%"
"2018년 03월 22일","63,900","64,000","64,400","63,500","789.89K","1.43%"
"2018년 03월 21일","63,000","62,700","63,900","62,700","668.64K","-0.94%"
"2018년 03월 20일","63,600","62,800","63,600","62,400","675.49K","1.11%"
"2018년 03월 19일","62,900","62,700","63,300","62,000","615.93K","0.32%"
"2018년 03월 18일","62,700","62,700","62,700","62,700","-","0.00%"
"2018년 03월 16일","62,700","61,800","63,000","61,600","1.20M","1.62%"
"2018년 03월 15일","61,700","62,100","62,300","61,200","1.03M","0.16%"
"2018년 03월 14일","61,600","61,600","62,300","61,400","793.78K","-0.96%"
"2018년 03월 13일","62,200","62,800","63,300","61,700","1.27M","-2.81%"
"2018년 03월 12일","64,000","63,000","64,400","62,500","1.01M","2.40%"
"2018년 03월 11일","62,500","62,500","62,500","62,500","-","0.00%"
"2018년 03월 09일","62,500","62,100","62,800","61,300","1.22M","1.13%"
"2018년 03월 08일","61,800","62,300","62,500","61,200","1.65M","0.49%"
"2018년 03월 07일","61,500","61,600","62,300","60,800","1.20M","-1.28%"
"2018년 03월 06일","62,300","62,300","63,200","61,800","833.96K","0.16%"
"2018년 03월 05일","62,200","64,400","64,400","62,100","668.10K","-2.05%"
"2018년 03월 02일","63,500","64,800","64,800","62,500","1.05M","-0.78%"
"2018년 03월 01일","64,000","64,000","64,000","64,000","-","0.00%"
"2018년 02월 28일","64,000","63,300","64,300","63,300","1.21M","0.00%"
"2018년 02월 27일","64,000","64,400","65,100","64,000","1.31M","-0.16%"
"2018년 02월 26일","64,100","64,000","64,600","63,600","1.41M","-0.93%"
"2018년 02월 23일","64,700","65,000","65,400","64,300","1.02M","-0.31%"
"2018년 02월 22일","64,900","64,600","65,500","64,300","865.39K","-0.92%"
"2018년 02월 21일","65,500","66,400","66,400","65,100","883.70K","-1.80%"
"2018년 02월 20일","66,700","66,700","67,000","66,300","667.47K","-0.15%"
"2018년 02월 19일","66,800","66,000","67,100","65,600","774.71K","3.09%"
"2018년 02월 18일","64,800","64,800","64,800","64,800","-","0.00%"
"2018년 02월 14일","64,800","64,200","64,900","63,700","755.07K","0.93%"
"2018년 02월 13일","64,200","64,900","65,200","63,400","1.42M","-0.16%"
"2018년 02월 12일","64,300","62,200","64,500","61,600","1.13M","5.41%"
"2018년 02월 11일","61,000","61,000","61,000","61,000","-","0.00%"
"2018년 02월 09일","61,000","60,200","61,700","60,100","1.37M","-0.65%"
"2018년 02월 08일","61,400","63,000","63,400","61,100","1.64M","-2.69%"
"2018년 02월 07일","63,100","64,500","65,100","63,000","1.16M","-1.71%"
"2018년 02월 06일","64,200","66,300","66,400","63,500","1.75M","-5.17%"
"2018년 02월 05일","67,700","67,000","68,000","66,200","1.33M","1.96%"
"2018년 02월 04일","66,400","66,400","66,400","66,400","-","0.00%"
"2018년 02월 02일","66,400","66,100","66,900","65,300","891.69K","0.45%"
"2018년 02월 01일","66,100","66,000","67,000","65,800","738.26K","-1.78%"
"2018년 01월 31일","67,300","66,400","67,500","64,600","1.21M","0.60%"
"2018년 01월 30일","66,900","67,000","67,700","66,600","784.87K","-0.45%"
"2018년 01월 29일","67,200","67,900","68,300","67,000","784.05K","-0.30%"
"2018년 01월 28일","67,400","67,400","67,400","67,400","-","0.00%"
"2018년 01월 26일","67,400","66,300","67,500","66,000","933.64K","1.20%"
"2018년 01월 25일","66,600","67,100","67,900","66,500","836.27K","-1.33%"
"2018년 01월 24일","67,500","68,000","68,500","67,300","723.20K","-1.60%"
"2018년 01월 23일","68,600","65,900","68,600","65,900","883.67K","4.41%"
"2018년 01월 22일","65,700","68,000","68,400","65,700","914.08K","-2.09%"
"2018년 01월 21일","67,100","67,100","67,100","67,100","-","0.00%"
"2018년 01월 19일","67,100","66,100","67,800","66,100","815.87K","2.13%"
"2018년 01월 18일","65,700","66,200","67,100","65,500","856.60K","0.46%"
"2018년 01월 17일","65,400","66,000","66,600","65,300","1.37M","-0.61%"
"2018년 01월 16일","65,800","67,600","67,900","65,800","937.03K","-2.66%"
"2018년 01월 15일","67,600","67,900","68,900","67,400","740.84K","-0.15%"
"2018년 01월 14일","67,700","67,700","67,700","67,700","-","0.00%"
"2018년 01월 12일","67,700","69,200","69,200","67,500","925.48K","0.00%"
"2018년 01월 11일","67,700","67,600","68,100","66,600","1.04M","2.58%"
"2018년 01월 10일","66,000","67,000","68,100","66,000","899.26K","-1.79%"
"2018년 01월 09일","67,200","67,400","67,900","66,400","942.01K","0.90%"
"2018년 01월 08일","66,600","64,500","67,100","64,300","1.04M","3.90%"
"2018년 01월 07일","64,100","64,100","64,100","64,100","-","0.00%"
"2018년 01월 05일","64,100","63,000","64,400","63,000","698.27K","1.75%"
"2018년 01월 04일","63,000","63,400","63,900","62,800","672.59K","-0.16%"
"2018년 01월 03일","63,100","62,100","63,500","62,100","667.84K","0.00%"
"2018년 01월 02일","63,100","63,900","63,900","62,400","576.52K","-0.47%"
"2017년 12월 28일","63,400","63,600","63,600","62,500","608.87K","0.63%"
"2017년 12월 27일","63,000","62,100","63,100","61,400","719.97K","-1.25%"
"2017년 12월 26일","63,800","63,000","64,000","62,400","922.85K","2.41%"
"2017년 12월 22일","62,300","62,600","63,300","62,300","667.07K","0.65%"
"2017년 12월 21일","61,900","62,900","63,500","61,800","1.02M","-1.43%"
"2017년 12월 20일","62,800","61,900","63,000","61,000","791.82K","0.64%"
"2017년 12월 19일","62,400","61,900","63,000","61,800","663.03K","0.16%"
"2017년 12월 18일","62,300","62,200","62,600","61,700","674.21K","-0.48%"
"2017년 12월 17일","62,600","62,600","62,600","62,600","-","0.00%"
"2017년 12월 15일","62,600","61,600","62,800","61,400","1.27M","1.95%"
"2017년 12월 14일","61,400","60,800","63,000","60,500","2.47M","0.99%"
"2017년 12월 13일","60,800","58,000","60,900","58,000","1.32M","4.29%"
"2017년 12월 12일","58,300","59,200","59,400","58,300","1.09M","-1.19%"
"2017년 12월 11일","59,000","59,200","59,700","59,000","765.95K","-0.84%"
"2017년 12월 08일","59,500","59,100","60,100","59,100","798.58K","0.51%"
"2017년 12월 07일","59,200","60,200","60,500","59,200","833.43K","-1.66%"
"2017년 12월 06일","60,200","60,400","60,400","59,900","729.76K","0.50%"
"2017년 12월 05일","59,900","60,100","60,300","59,700","880.09K","-0.17%"
"2017년 12월 04일","60,000","59,000","60,000","58,900","914.50K","2.92%"
"2017년 12월 03일","58,300","58,300","58,300","58,300","-","0.00%"
"2017년 12월 01일","58,300","59,600","59,800","58,000","923.16K","-2.67%"
"2017년 11월 30일","59,900","59,900","60,200","58,800","2.14M","1.18%"
"2017년 11월 29일","59,200","58,800","59,400","58,400","904.35K","1.54%"
"2017년 11월 28일","58,300","57,700","59,500","57,600","1.32M","1.39%"
"2017년 11월 27일","57,500","57,300","57,900","57,300","982.84K","1.41%"
"2017년 11월 24일","56,700","56,400","56,900","56,300","714.08K","0.00%"
"2017년 11월 23일","56,700","56,400","56,900","56,300","542.82K","0.89%"
"2017년 11월 22일","56,200","55,800","56,700","55,800","708.69K","0.72%"
"2017년 11월 21일","55,800","57,000","57,100","55,700","716.22K","-2.28%"
"2017년 11월 20일","57,100","57,000","57,500","56,600","762.74K","0.35%"
"2017년 11월 19일","56,900","56,900","56,900","56,900","-","0.00%"
"2017년 11월 17일","56,900","58,400","58,500","56,500","1.17M","-1.90%"
"2017년 11월 16일","58,000","57,800","58,300","57,400","909.54K","1.22%"
"2017년 11월 15일","57,300","56,500","57,300","56,100","710.53K","0.88%"
"2017년 11월 14일","56,800","56,700","57,300","56,700","574.53K","0.35%"
"2017년 11월 13일","56,600","56,900","57,300","56,300","621.72K","-1.39%"
"2017년 11월 12일","57,400","57,400","57,400","57,400","0.03K","0.00%"
"2017년 11월 10일","57,400","57,100","57,700","56,800","538.43K","-0.52%"
"2017년 11월 09일","57,700","57,500","57,800","56,700","981.58K","0.52%"
"2017년 11월 08일","57,400","57,300","57,900","57,100","920.24K","-0.86%"
"2017년 11월 07일","57,900","57,800","58,500","57,300","1.04M","0.17%"
"2017년 11월 06일","57,800","59,700","59,800","57,600","1.19M","-3.51%"
"2017년 11월 05일","59,900","59,900","59,900","59,900","0.01K","0.00%"
"2017년 11월 03일","59,900","59,100","60,000","59,100","770.48K","1.35%"
"2017년 11월 02일","59,100","59,400","59,400","58,400","691.87K","0.17%"
